GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MatchingEngine,matchingEngine,MatchingEngine,5,369,6,56,1,85,6,36,0,11
MatchingEngine,matchingEngine,Environment,1,129,2,10,0,29,2,15,0,11
MatchingEngine,matchingEngine,OrderBook,38,246,5,25,8,56,6,28,2,17
MatchingEngine,matchingEngine,Order,3,230,6,26,0,49,6,23,0,13
MatchingEngine,matchingEngine,Broker,2,174,2,16,1,36,2,19,0,12
MatchingEngine,matchingEngine,Shareholder,16,201,3,19,3,41,3,20,0,12
MatchingEngine,matchingEngine,Trade,0,97,0,2,0,24,0,5,0,4
