GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MatchingEngine,matchingEngine,MatchingEngine,5.6,368.4,8.6,53.4,0.8,85.2,8,34,0,11
MatchingEngine,matchingEngine,Environment,2.2,127.8,2,10,1,28,2,15,0,11
MatchingEngine,matchingEngine,OrderBook,36.59,247.4,4.8,25.2,7.6,56.4,6,28,1.8,17.2
MatchingEngine,matchingEngine,Order,4.8,228.2,6.4,25.6,0.4,48.6,6.4,22.6,0,13
MatchingEngine,matchingEngine,Broker,6.4,169.6,2.8,15.2,1.6,35.4,2.8,18.2,0,12
MatchingEngine,matchingEngine,Shareholder,21,196,3.8,18.2,3.6,40.4,3.8,19.2,0,12
MatchingEngine,matchingEngine,Trade,0.8,96.2,0.2,1.8,0.2,23.8,0.2,4.8,0,4
