GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MatchingEngine,matchingEngine,MatchingEngine,6,394,9,57,2,102,9,35,0,11
MatchingEngine,matchingEngine,Environment,5,138,4,8,2,40,4,13,0,11
MatchingEngine,matchingEngine,OrderBook,42,266,5,25,11,77,6,28,2,17
MatchingEngine,matchingEngine,Order,3,245,6,26,0,64,6,23,0,13
MatchingEngine,matchingEngine,Broker,2,190,2,16,1,52,2,19,0,12
MatchingEngine,matchingEngine,Shareholder,19,216,4,18,5,57,4,19,0,12
MatchingEngine,matchingEngine,Trade,0,101,0,2,0,26,0,5,0,4
