GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MatchingEngine,matchingEngine,MatchingEngine,5,379,2,62,1,86,2,41,0,11
MatchingEngine,matchingEngine,Environment,0,130,1,11,0,29,1,16,0,11
MatchingEngine,matchingEngine,OrderBook,34,260,3,25,7,63,4,30,2,18
MatchingEngine,matchingEngine,Order,0,249,0,40,0,49,0,33,0,13
MatchingEngine,matchingEngine,Broker,0,176,2,16,0,37,2,19,0,12
MatchingEngine,matchingEngine,Shareholder,28,189,4,18,4,40,4,19,0,12
MatchingEngine,matchingEngine,Trade,4,93,1,1,1,23,1,4,0,4
