GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MatchingEngine,matchingEngine,MatchingEngine,272,110,58,6,61,27,37,6,5,6
MatchingEngine,matchingEngine,Environment,9,121,6,6,3,26,6,11,0,11
MatchingEngine,matchingEngine,OrderBook,251,43,27,1,62,8,31,3,17,3
MatchingEngine,matchingEngine,Order,118,131,26,14,26,23,28,5,8,5
MatchingEngine,matchingEngine,Broker,104,72,13,5,22,15,14,7,7,5
MatchingEngine,matchingEngine,Shareholder,142,75,17,5,28,16,16,7,7,5
MatchingEngine,matchingEngine,Trade,97,0,2,0,24,0,5,0,4,0
